"","participant","gender","age","language","logical_training","trials","response","aim","comments"
"1","anon0","male","32","english","No","X_XorY_ele_catele","1","not entirely sure. ","ty"
"2","anon0","male","32","english","No","X.X_dog","1","not entirely sure. ","ty"
"3","anon0","male","32","english","No","XY.XorY_catele","1","not entirely sure. ","ty"
"4","anon0","male","32","english","No","X_XandY_cat_catdog","0","not entirely sure. ","ty"
"5","anon0","male","32","english","No","XY_Z_catdog_ele","0","not entirely sure. ","ty"
"6","anon0","male","32","english","No","XY_X_catele_ele","1","not entirely sure. ","ty"
"7","anon0","male","32","english","No","XY_Z_dogele_cat","0","not entirely sure. ","ty"
"8","anon0","male","32","english","No","X.X_cat","1","not entirely sure. ","ty"
"9","anon0","male","32","english","No","XY.XorY_catdog","1","not entirely sure. ","ty"
"10","anon0","male","32","english","No","X_Z_ele_cat","0","not entirely sure. ","ty"
"11","anon0","male","32","english","No","X_Z_dog_cat","0","not entirely sure. ","ty"
"12","anon0","male","32","english","No","XY_Z_catele_dog","0","not entirely sure. ","ty"
"13","anon0","male","32","english","No","X_Z_cat_dog","0","not entirely sure. ","ty"
"14","anon0","male","32","english","No","XY.XorY_dogele","1","not entirely sure. ","ty"
"15","anon0","male","32","english","No","XY_X_dogele_ele","1","not entirely sure. ","ty"
"16","anon0","male","32","english","No","X.X_ele","1","not entirely sure. ","ty"
"17","anon0","male","32","english","No","X_XandY_dog_catdog","0","not entirely sure. ","ty"
"18","anon0","male","32","english","No","X_XorY_cat_catele","1","not entirely sure. ","ty"
"19","anon0","male","32","english","No","X_XandY_cat_catele","0","not entirely sure. ","ty"
"20","anon0","male","32","english","No","XY_X_dogele_dog","1","not entirely sure. ","ty"
"21","anon0","male","32","english","No","XY.XandY_catdog","1","not entirely sure. ","ty"
"22","anon0","male","32","english","No","XY.XandY_catele","1","not entirely sure. ","ty"
"23","anon0","male","32","english","No","X_XorY_dog_catdog","1","not entirely sure. ","ty"
"24","anon0","male","32","english","No","XY.XandY_dogele","1","not entirely sure. ","ty"
"25","anon1","male","27","english","No","X_Z_cat_dog","0","to give commands","n.a"
"26","anon1","male","27","english","No","X_XandY_ele_dogele","3","to give commands","n.a"
"27","anon1","male","27","english","No","X_XandY_cat_catele","0","to give commands","n.a"
"28","anon1","male","27","english","No","XY.XandY_catele","3","to give commands","n.a"
"29","anon1","male","27","english","No","XY_Z_catele_dog","0","to give commands","n.a"
"30","anon1","male","27","english","No","X_Z_ele_cat","0","to give commands","n.a"
"31","anon1","male","27","english","No","XY.XorY_catele","2","to give commands","n.a"
"32","anon1","male","27","english","No","X_XorY_dog_dogele","2","to give commands","n.a"
"33","anon1","male","27","english","No","X_XandY_dog_catdog","2","to give commands","n.a"
"34","anon1","male","27","english","No","X_XorY_cat_catele","2","to give commands","n.a"
"35","anon1","male","27","english","No","XY.XorY_dogele","3","to give commands","n.a"
"36","anon1","male","27","english","No","X_Z_dog_ele","0","to give commands","n.a"
"37","anon1","male","27","english","No","XY.XandY_catdog","3","to give commands","n.a"
"38","anon1","male","27","english","No","X_XorY_dog_catdog","2","to give commands","n.a"
"39","anon1","male","27","english","No","XY.XandY_dogele","3","to give commands","n.a"
"40","anon1","male","27","english","No","XY_Z_dogele_cat","0","to give commands","n.a"
"41","anon1","male","27","english","No","XY.XorY_catdog","3","to give commands","n.a"
"42","anon1","male","27","english","No","X.X_dog","3","to give commands","n.a"
"43","anon1","male","27","english","No","XY_Z_catdog_ele","0","to give commands","n.a"
"44","anon1","male","27","english","No","XY_X_dogele_dog","2","to give commands","n.a"
"45","anon1","male","27","english","No","XY_X_catdog_dog","2","to give commands","n.a"
"46","anon1","male","27","english","No","XY_X_dogele_ele","2","to give commands","n.a"
"47","anon1","male","27","english","No","X.X_cat","3","to give commands","n.a"
"48","anon1","male","27","english","No","X.X_ele","3","to give commands","n.a"
"49","anon10","male","35","english","No","XY.XorY_dogele","1","unsure","none"
"50","anon10","male","35","english","No","X.X_ele","1","unsure","none"
"51","anon10","male","35","english","No","X_Z_cat_dog","0","unsure","none"
"52","anon10","male","35","english","No","XY_Z_catele_dog","0","unsure","none"
"53","anon10","male","35","english","No","X.X_cat","1","unsure","none"
"54","anon10","male","35","english","No","XY.XandY_catele","1","unsure","none"
"55","anon10","male","35","english","No","XY_X_dogele_ele","1","unsure","none"
"56","anon10","male","35","english","No","X_XandY_dog_dogele","0","unsure","none"
"57","anon10","male","35","english","No","X_Z_ele_cat","0","unsure","none"
"58","anon10","male","35","english","No","XY.XandY_dogele","1","unsure","none"
"59","anon10","male","35","english","No","X.X_dog","1","unsure","none"
"60","anon10","male","35","english","No","X_Z_dog_cat","0","unsure","none"
"61","anon10","male","35","english","No","XY_X_catdog_dog","1","unsure","none"
"62","anon10","male","35","english","No","XY.XorY_catele","1","unsure","none"
"63","anon10","male","35","english","No","XY_X_dogele_dog","1","unsure","none"
"64","anon10","male","35","english","No","X_XandY_ele_catele","0","unsure","none"
"65","anon10","male","35","english","No","XY.XorY_catdog","1","unsure","none"
"66","anon10","male","35","english","No","XY.XandY_catdog","1","unsure","none"
"67","anon10","male","35","english","No","X_XorY_cat_catele","1","unsure","none"
"68","anon10","male","35","english","No","X_XandY_dog_catdog","0","unsure","none"
"69","anon10","male","35","english","No","X_XorY_ele_catele","1","unsure","none"
"70","anon10","male","35","english","No","XY_Z_dogele_cat","0","unsure","none"
"71","anon10","male","35","english","No","X_XorY_dog_catdog","1","unsure","none"
"72","anon10","male","35","english","No","XY_Z_catdog_ele","0","unsure","none"
"73","anon11","female","27","English","No","XY.XorY_dogele","1","And vs or","no"
"74","anon11","female","27","English","No","X.X_cat","1","And vs or","no"
"75","anon11","female","27","English","No","X_XandY_dog_dogele","0","And vs or","no"
"76","anon11","female","27","English","No","X_Z_dog_cat","0","And vs or","no"
"77","anon11","female","27","English","No","X_XandY_ele_dogele","0","And vs or","no"
"78","anon11","female","27","English","No","XY_X_dogele_ele","1","And vs or","no"
"79","anon11","female","27","English","No","X_Z_dog_ele","0","And vs or","no"
"80","anon11","female","27","English","No","X_XandY_ele_catele","0","And vs or","no"
"81","anon11","female","27","English","No","XY.XandY_dogele","1","And vs or","no"
"82","anon11","female","27","English","No","XY_X_catele_cat","1","And vs or","no"
"83","anon11","female","27","English","No","XY_Z_catele_dog","0","And vs or","no"
"84","anon11","female","27","English","No","X_XorY_cat_catele","1","And vs or","no"
"85","anon11","female","27","English","No","X_XorY_dog_catdog","1","And vs or","no"
"86","anon11","female","27","English","No","XY.XorY_catele","1","And vs or","no"
"87","anon11","female","27","English","No","XY_Z_catdog_ele","0","And vs or","no"
"88","anon11","female","27","English","No","XY.XandY_catdog","1","And vs or","no"
"89","anon11","female","27","English","No","X_Z_ele_cat","0","And vs or","no"
"90","anon11","female","27","English","No","XY_X_catele_ele","1","And vs or","no"
"91","anon11","female","27","English","No","X.X_dog","1","And vs or","no"
"92","anon11","female","27","English","No","X_XorY_ele_catele","1","And vs or","no"
"93","anon11","female","27","English","No","X.X_ele","1","And vs or","no"
"94","anon11","female","27","English","No","XY_Z_dogele_cat","0","And vs or","no"
"95","anon11","female","27","English","No","XY.XorY_catdog","1","And vs or","no"
"96","anon11","female","27","English","No","XY.XandY_catele","1","And vs or","no"
"97","anon12","male","28","english","No","XY_Z_catdog_ele","0","not really sure",""
"98","anon12","male","28","english","No","X_XandY_dog_catdog","2","not really sure",""
"99","anon12","male","28","english","No","X_XandY_ele_dogele","1","not really sure",""
"100","anon12","male","28","english","No","XY_Z_dogele_cat","2","not really sure",""
"101","anon12","male","28","english","No","XY.XandY_catdog","2","not really sure",""
"102","anon12","male","28","english","No","X_Z_ele_dog","1","not really sure",""
"103","anon12","male","28","english","No","X_XorY_dog_dogele","3","not really sure",""
"104","anon12","male","28","english","No","XY_X_catdog_cat","2","not really sure",""
"105","anon12","male","28","english","No","X_Z_cat_dog","0","not really sure",""
"106","anon12","male","28","english","No","XY_Z_catele_dog","0","not really sure",""
"107","anon12","male","28","english","No","X_Z_cat_ele","0","not really sure",""
"108","anon12","male","28","english","No","X.X_dog","0","not really sure",""
"109","anon12","male","28","english","No","XY.XorY_catdog","0","not really sure",""
"110","anon12","male","28","english","No","XY.XandY_dogele","0","not really sure",""
"111","anon12","male","28","english","No","XY.XorY_catele","2","not really sure",""
"112","anon12","male","28","english","No","X_XorY_dog_catdog","3","not really sure",""
"113","anon12","male","28","english","No","X.X_cat","2","not really sure",""
"114","anon12","male","28","english","No","XY_X_catdog_dog","2","not really sure",""
"115","anon12","male","28","english","No","X_XandY_cat_catele","2","not really sure",""
"116","anon12","male","28","english","No","X_XorY_cat_catele","2","not really sure",""
"117","anon12","male","28","english","No","XY.XorY_dogele","2","not really sure",""
"118","anon12","male","28","english","No","XY.XandY_catele","2","not really sure",""
"119","anon12","male","28","english","No","X.X_ele","2","not really sure",""
"120","anon12","male","28","english","No","XY_X_dogele_ele","1","not really sure",""
"121","anon13","male","32","English","Yes","X.X_ele","100","Not really sure. ","Interesting study."
"122","anon13","male","32","English","Yes","XY.XandY_catele","100","Not really sure. ","Interesting study."
"123","anon13","male","32","English","Yes","X.X_cat","97","Not really sure. ","Interesting study."
"124","anon13","male","32","English","Yes","X.X_dog","99","Not really sure. ","Interesting study."
"125","anon13","male","32","English","Yes","X_XorY_cat_catdog","91","Not really sure. ","Interesting study."
"126","anon13","male","32","English","Yes","XY_X_catele_ele","85","Not really sure. ","Interesting study."
"127","anon13","male","32","English","Yes","X_XandY_cat_catele","15","Not really sure. ","Interesting study."
"128","anon13","male","32","English","Yes","XY_Z_dogele_cat","0","Not really sure. ","Interesting study."
"129","anon13","male","32","English","Yes","XY.XandY_dogele","100","Not really sure. ","Interesting study."
"130","anon13","male","32","English","Yes","XY_Z_catdog_ele","0","Not really sure. ","Interesting study."
"131","anon13","male","32","English","Yes","X_Z_dog_ele","0","Not really sure. ","Interesting study."
"132","anon13","male","32","English","Yes","XY.XandY_catdog","100","Not really sure. ","Interesting study."
"133","anon13","male","32","English","Yes","XY.XorY_catdog","80","Not really sure. ","Interesting study."
"134","anon13","male","32","English","Yes","X_Z_ele_cat","0","Not really sure. ","Interesting study."
"135","anon13","male","32","English","Yes","XY.XorY_dogele","92","Not really sure. ","Interesting study."
"136","anon13","male","32","English","Yes","XY_Z_catele_dog","0","Not really sure. ","Interesting study."
"137","anon13","male","32","English","Yes","X_XandY_dog_dogele","0","Not really sure. ","Interesting study."
"138","anon13","male","32","English","Yes","XY_X_catele_cat","82","Not really sure. ","Interesting study."
"139","anon13","male","32","English","Yes","XY.XorY_catele","78","Not really sure. ","Interesting study."
"140","anon13","male","32","English","Yes","X_XorY_ele_catele","82","Not really sure. ","Interesting study."
"141","anon13","male","32","English","Yes","XY_X_dogele_dog","70","Not really sure. ","Interesting study."
"142","anon13","male","32","English","Yes","X_Z_dog_cat","0","Not really sure. ","Interesting study."
"143","anon13","male","32","English","Yes","X_XandY_cat_catdog","17","Not really sure. ","Interesting study."
"144","anon13","male","32","English","Yes","X_XorY_cat_catele","67","Not really sure. ","Interesting study."
"145","anon14","male","35","English","Yes","XY_X_catdog_dog","1","something to do with logic","no, thank you."
"146","anon14","male","35","English","Yes","X_Z_cat_dog","0","something to do with logic","no, thank you."
"147","anon14","male","35","English","Yes","X.X_ele","1","something to do with logic","no, thank you."
"148","anon14","male","35","English","Yes","XY.XandY_dogele","1","something to do with logic","no, thank you."
"149","anon14","male","35","English","Yes","X_XandY_cat_catdog","0","something to do with logic","no, thank you."
"150","anon14","male","35","English","Yes","XY.XandY_catele","1","something to do with logic","no, thank you."
"151","anon14","male","35","English","Yes","X_XandY_dog_catdog","0","something to do with logic","no, thank you."
"152","anon14","male","35","English","Yes","X_XorY_dog_catdog","1","something to do with logic","no, thank you."
"153","anon14","male","35","English","Yes","X_XorY_ele_dogele","1","something to do with logic","no, thank you."
"154","anon14","male","35","English","Yes","XY_X_dogele_ele","1","something to do with logic","no, thank you."
"155","anon14","male","35","English","Yes","X.X_dog","1","something to do with logic","no, thank you."
"156","anon14","male","35","English","Yes","X_Z_dog_cat","0","something to do with logic","no, thank you."
